isin,name,ticker,source
AU0000030678,Coles Group,COL.AX,openfigi
AU0000031411,Gibb River Diamonds,GIB.AX,openfigi
AU0000035701,Theta Gold Mines,TGM.AX,openfigi
AU0000036949,African Gold,A1G.AX,openfigi
AU0000040982,Ricegrowers,SGLLV.AX,openfigi
AU0000047441,Avecho Biotechnology,AVE.AX,openfigi
AU0000049033,AIC Mines,A1M.AX,openfigi
AU0000053522,Vanadium Resources,VR8.AX,openfigi
AU0000054587,Mandrake Resources,MAN.AX,openfigi
AU0000058737,Lotus Resources Ltd. Registered Shares o.N.,LOT.AX,openfigi
AU0000058943,HMC Capital,HMC.AX,openfigi
AU0000061897,Perenti Global,PRN.AX,openfigi
AU0000062440,Macarthur Minerals,MIO.AX,openfigi
AU0000066086,Vulcan Energy Resources,VUL.DE,openfigi
AU0000066169,Australian Silica Quartz,BXRDF,openfigi
AU0000067092,Great Northern Minerals Ltd. Registered Shares o.N.,GNM.AX,openfigi
AU0000067936,Resolution Minerals,RML.AX,openfigi
AU0000068579,Rarex,REE.AX,openfigi
AU0000070328,PROMINENCE ENERGY,PRM.AX,openfigi
AU0000071482,EcoGraf,EGR.AX,openfigi
AU0000074221,TALI Digital,TD1.AX,openfigi
AU0000079212,AML3D,AL3.AX,openfigi
AU0000081341,Ionic Rare Earths,IXR.AX,openfigi
AU0000090128,TPG Telecom,TPG.AX,openfigi
AU0000090292,Manuka Resources,MKR.AX,openfigi
AU0000095416,4DMedical,4DX.AX,openfigi
AU0000102154,Marvel Gold,MVL.AX,openfigi
AU0000104374,NewPeak Metals,NPM.AX,openfigi
AU0000109159,Duratec,DUR.AX,openfigi
AU0000115172,Antilles Gold,AAU.AX,openfigi
AU0000117285,Spacetalk,SPA.AX,openfigi
AU0000119307,Nuix Limited,NXL.AX,openfigi
AU0000121337,Humm Group,HUM.AX,openfigi
AU0000122251,Queensland Pacific Metals,QPM.AX,openfigi
AU0000134694,Firebird Metals,FRB.AX,openfigi
AU0000137598,Epsilon Healthcare,EPN.AX,openfigi
AU0000141533,Qmines,QML.AX,openfigi
AU0000142945,Tennant Minerals,TMS.AX,openfigi
AU0000143729,Sunrise Energy Metals,SRL.AX,openfigi
AU0000146961,OAKRIDGE INTERNATIONAL,OAK.AX,openfigi
AU0000147266,Torque Metals Limited Registered Shares o.N.,TOR.AX,openfigi
AU0000150898,Pepper Money,PPM.AX,openfigi
AU0000153256,Askari Metals,AS2.AX,openfigi
AU0000153280,Clean TeQ Water,CNQ.AX,openfigi
AU0000154833,Endeavour Group,EDV.AX,openfigi
AU0000155228,MTM Critical Metals Limited,MTM.AX,openfigi
AU0000155335,Critical Resources,CRR.AX,openfigi
AU0000156416,Elevate Uranium,EL8.AX,openfigi
AU0000158578,Industrial Minerals,IND.AX,openfigi
AU0000159840,Kuniko,KNI.AX,openfigi
AU0000166613,Greenwing Resources,GW1.AX,openfigi
AU0000179707,Develop Global Limited,DVP.AX,openfigi
AU0000180200,Evolution Energy Minerals,EV1.AX,openfigi
AU0000182263,Nimy Resources,NIM.AX,openfigi
AU0000182628,Winsome Resources,WR1.AX,openfigi
AU0000182784,AROVELLA THERAPEUTICS,ALA.AX,openfigi
AU0000183253,Larvotto Resources,LRV.AX,openfigi
AU0000185993,IREN,IREN,openfigi
AU0000186678,Kelsian Group,KLS.AX,openfigi
AU0000187239,American West Metals Ltd. Registered Shares o.N.,AW1.AX,openfigi
AU0000187247,Haranga Resources,HAR.AX,openfigi
AU0000187569,Falcon Metals,FAL.AX,openfigi
AU0000189318,IPD Group,IPG.AX,openfigi
AU0000195430,Echo IQ,EIQ.AX,openfigi
AU0000196206,EV Resources,EVR.AX,openfigi
AU0000196891,CuFe,CUF.AX,openfigi
AU0000198939,GreenX Metals,GRX.AX,openfigi
AU0000199929,Morella Corporation,1MC.AX,openfigi
AU0000200198,Income Asset Management Group,IAM.AX,openfigi
AU0000208910,IperionX Limited,IPX.AX,openfigi
AU0000210957,International Graphite,IG6.AX,openfigi
AU0000218190,Chrysos,C79.AX,openfigi
AU0000218307,Zip Co,ZIP.AX,openfigi
AU0000237554,Atlantic Lithium,ALL.L,openfigi
AU0000250250,Energy Transition Minerals,ETM.AX,openfigi
AU0000251498,Helia Group Ltd. Registered Shares o.N.,HLI.AX,openfigi
AU0000253510,Regal Asian Investments,RG8.AX,openfigi
AU0000256646,Unith,UNT.AX,openfigi
AU0000265217,Tivan,TVN.AX,openfigi
AU0000265381,Alliance Nickel,AXN.AX,openfigi
AU0000273088,NGX,NGX.AX,openfigi
AU0000294498,Chariot,CC9.AX,openfigi
AU0000296022,Algorae Pharmaceuticals,1AI.AX,openfigi
AU0000305468,Kali Metals Ltd. Reg.Shs Ord.F.P. o.N.,KM1.AX,openfigi
AU0000305542,Iondrive,ION.AX,openfigi
AU0000305815,Brazilian Rare Earths,BRE.AX,openfigi
AU0000310302,Cadoux,CCM.AX,openfigi
AU0000312480,Syntara,SNT.AX,openfigi
AU0000317281,Percheron Therapeutics,PER.AX,openfigi
AU0000317471,Waratah Minerals Ltd. Registered Shares o.N.,WTM.AX,openfigi
AU0000326647,Argent BioPharma,RGT.AX,openfigi
AU0000329302,Terra Metals,TM1.AX,openfigi
